What bones? The cellar bones- out of the grave	That made him throw his bare legs out of bed
That made him throw his bare legs out of bed	And sit up by me and take hold of me
And sit up by me and take hold of me	I wanted to put out the light and see
I wanted to put out the light and see	If I could see it or else mow the room
If I could see it or else mow the room	With our arms at the level of our knees
With our arms at the level of our knees	And bring the chalk-pile down Ill tell you what-
And bring the chalk-pile down Ill tell you what-	Its looking for another door to try
Its looking for another door to try	The uncommonly deep snow has made him think
The uncommonly deep snow has made him think	Of his old song The Wild Colonial Boy
Of his old song The Wild Colonial Boy	He always used to sing along the tote-road
He always used to sing along the tote-road	Hes after an open door to get out-doors
Hes after an open door to get out-doors	Lets trap him with an open door up attic
Lets trap him with an open door up attic	Toffile agreed to that and sure enough
Toffile agreed to that and sure enough	Almost the moment he was given an opening
Almost the moment he was given an opening	The steps began to climb the attic stairs
The steps began to climb the attic stairs	I heard them Toffile didnt seem to hear them
I heard them Toffile didnt seem to hear them	Quick  I slammed to the door and held the knob
Quick  I slammed to the door and held the knob	Toffile get nails I made him nail the door shut
Toffile get nails I made him nail the door shut	And push the headboard of the bed against it
And push the headboard of the bed against it	Then we asked was there anything
Then we asked was there anything	Up attic that wed ever want again
Up attic that wed ever want again	The attic was less to us than the cellar
The attic was less to us than the cellar	If the bones liked the attic let them have it
If the bones liked the attic let them have it	Let them stay in the attic When they sometimes
Let them stay in the attic When they sometimes	Come down the stairs at night and stand perplexed
Come down the stairs at night and stand perplexed	Behind the door and headboard of the bed
Behind the door and headboard of the bed	Brushing their chalky skull with chalky fingers
Brushing their chalky skull with chalky fingers	With sounds like the dry rattling of a shutter
With sounds like the dry rattling of a shutter	Thats what I sit up in the dark to say-
Thats what I sit up in the dark to say-	To no one any more since Toffile died
To no one any more since Toffile died	2o3 Let them stay in the attic since they went there
2o3 Let them stay in the attic since they went there	I promised Toffile to be cruel to them
I promised Toffile to be cruel to them	For helping them be cruel once to him
MOTHER: Yes we could too son Tell the truth for once	They were a mans his father killed for me
They were a mans his father killed for me	I mean a man he killed instead of me
I mean a man he killed instead of me	The least I could do was to help dig their grave
The least I could do was to help dig their grave	We were about it one night in the cellar
We were about it one night in the cellar	Son knows the story: but twas not for him
Son knows the story: but twas not for him	To tell the truth suppose the time had come
To tell the truth suppose the time had come	Son looks surprised to see me end a lie
Son looks surprised to see me end a lie	Wed kept all these years between ourselves
Wed kept all these years between ourselves	So as to have it ready for outsiders
So as to have it ready for outsiders	But to-night I dont care enough to lie-
But to-night I dont care enough to lie-	I dont remember why I ever cared
I dont remember why I ever cared	Toffile if he were here I dont believe
Toffile if he were here I dont believe	Could tell you why he ever cared himself-
She hadnt found the finger-bone she wanted	Among the buttons poured out in her lap
Among the buttons poured out in her lap	I verified the name next morning: Toffile
I verified the name next morning: Toffile	The rural letter-box said Toffile Lajway
The west was getting out of gold	The breath of air had died of cold
The breath of air had died of cold	When shoeing home across the white
When shoeing home across the white	I thought I saw a bird alight
In summer when I passed the place	I had to stop and lift my face
I had to stop and lift my face	A bird with an angelic gift
A bird with an angelic gift	Was singing in it sweet and swift
No bird was singing in it now	A single leaf was on a bough
A single leaf was on a bough	And that was all there was to see
And that was all there was to see	In going twice around the tree
From my advantage on a hill	I judged that such a crystal chill
I judged that such a crystal chill	Was only adding frost to snow
Was only adding frost to snow	As gilt to gold that wouldnt show
A brush had left a crooked stroke	Of what was either cloud or smoke
Of what was either cloud or smoke	From north to south across the blue
From north to south across the blue	A piercing little star was through
A governor it was proclaimed this time	When all who would come seeking in New Hampshire
When all who would come seeking in New Hampshire	Ancestral memories might come together
Ancestral memories might come together	And those of the name Stark gathered in Bow
And those of the name Stark gathered in Bow	A rock-strewn town where farming has fallen off
A rock-strewn town where farming has fallen off	And sprout-lands flourish where the axe has gone
And sprout-lands flourish where the axe has gone	Someone had literally run to earth
Someone had literally run to earth	In an old cellar hole in a by-road
In an old cellar hole in a by-road	The origin of all the family there
The origin of all the family there	Thence they were sprung so numerous a tribe
Thence they were sprung so numerous a tribe	That now not all the houses left in town
That now not all the houses left in town	Made shift to shelter them without the help
Made shift to shelter them without the help	Of here and there a tent in grove and orchard
Of here and there a tent in grove and orchard	They were at Bow but that was not enough:
They were at Bow but that was not enough:	Nothing would do but they must fix a day
Nothing would do but they must fix a day	To stand together on the craters verge
To stand together on the craters verge	That turned them on the world and try to fathom
That turned them on the world and try to fathom	The past and get some strangeness out of it
The past and get some strangeness out of it	But rain spoiled all The day began uncertain
But rain spoiled all The day began uncertain	With clouds low trailing and moments of rain that misted
With clouds low trailing and moments of rain that misted	The young folk held some hope out to each other
The young folk held some hope out to each other	Till well toward noon when the storm settled down
Till well toward noon when the storm settled down	With a swish in the grass What if the others
With a swish in the grass What if the others	Are there they said It isnt going to rain
Are there they said It isnt going to rain	Only one from a farm not far away
Only one from a farm not far away	Strolled thither not expecting he would find
Strolled thither not expecting he would find	Anyone else but out of idleness
Anyone else but out of idleness	One and one other yes for there were two
One and one other yes for there were two	The second round the curving hillside road
The second round the curving hillside road	Was a girl and she halted some way off
Was a girl and she halted some way off	To reconnoitre and then made up her mind
To reconnoitre and then made up her mind	At least to pass by and see who he was
At least to pass by and see who he was	And perhaps hear some word about the weather
And perhaps hear some word about the weather	This was some Stark she didnt know He nodded
This was some Stark she didnt know He nodded	No fête to-day he said
No fête to-day he said	It looks that way
It looks that way	She swept the heavens turning on her heel
She swept the heavens turning on her heel	I only idled down
I only idled down	I idled down
I idled down	Provision there had been for just such meeting
Provision there had been for just such meeting	Of stranger cousins in a family tree
Of stranger cousins in a family tree	Drawn on a sort of passport with the branch
Drawn on a sort of passport with the branch	Of the one bearing it done in detail-
Of the one bearing it done in detail-	Some zealous ones laborious device
Some zealous ones laborious device	She made a sudden movement toward her bodice
She made a sudden movement toward her bodice	As one who clasps her heart They laughed together
As one who clasps her heart They laughed together	Stark? he inquired No matter for the proof
Stark? he inquired No matter for the proof	Yes Stark And you?
Yes Stark And you?	Im Stark He drew his passport
Im Stark He drew his passport	You know we might not be and still be cousins:
You know we might not be and still be cousins:	The town is full of Chases Lowes and Baileys
The town is full of Chases Lowes and Baileys	All claiming some priority in Starkness
All claiming some priority in Starkness	My mother was a Lane yet might have married
My mother was a Lane yet might have married	Anyone upon earth and still her children
Anyone upon earth and still her children	Would have been Starks and doubtless here to-day
Would have been Starks and doubtless here to-day	You riddle with your genealogy
You riddle with your genealogy	Like a Viola I dont follow you
Like a Viola I dont follow you	I only mean my mother was a Stark
I only mean my mother was a Stark	Several times over and by marrying father
Several times over and by marrying father	No more than brought us back into the name
No more than brought us back into the name	One ought not to be thrown into confusion
One ought not to be thrown into confusion	By a plain statement of relationship
By a plain statement of relationship	But I own what you say makes my head spin
But I own what you say makes my head spin	You take my card- you seem so good at such things-
You take my card- you seem so good at such things-	And see if you can reckon our cousinship
And see if you can reckon our cousinship	Why not take seats here on the cellar wall
Why not take seats here on the cellar wall	And dangle feet among the raspberry vines?
And dangle feet among the raspberry vines?	Under the shelter of the family tree
Under the shelter of the family tree	Just so- that ought to be enough protection
Just so- that ought to be enough protection	Not from the rain I think its going to rain
Not from the rain I think its going to rain	Its raining
Its raining	No its misting lets be fair
No its misting lets be fair	Does the rain seem to you to cool the eyes?
Does the rain seem to you to cool the eyes?	The situation was like this: the road
The situation was like this: the road	Bowed outward on the mountain half-way up
Bowed outward on the mountain half-way up	And disappeared and ended not far off
And disappeared and ended not far off	No one went home that way The only house
No one went home that way The only house	Beyond where they were was a shattered seedpod
Beyond where they were was a shattered seedpod	And below roared a brook hidden in trees
And below roared a brook hidden in trees	The sound of which was silence for the place
The sound of which was silence for the place	This he sat listening to till she gave judgment
This he sat listening to till she gave judgment	On fathers side it seems were- let me see- - 
On fathers side it seems were- let me see- - 	Dont be too technical- You have three cards
Dont be too technical- You have three cards	Four cards one yours three mine one for each branch
Four cards one yours three mine one for each branch	Of the Stark family Im a member of
Of the Stark family Im a member of	Dyou know a person so related to herself
Dyou know a person so related to herself	Is supposed to be mad
Is supposed to be mad	I may be mad
I may be mad	You look so sitting out here in the rain
You look so sitting out here in the rain	Studying genealogy with me
Studying genealogy with me	You never saw before What will we come to
You never saw before What will we come to	With all this pride of ancestry we Yankees?
With all this pride of ancestry we Yankees?	I think were all mad Tell me why were here
I think were all mad Tell me why were here	Drawn into town about this cellar hole
Drawn into town about this cellar hole	Like wild geese on a lake before a storm?
Like wild geese on a lake before a storm?	What do we see in such a hole I wonder
What do we see in such a hole I wonder	The Indians had a myth of Chicamoztoc
The Indians had a myth of Chicamoztoc	Which means The Seven Caves that We Came out of
Which means The Seven Caves that We Came out of	This is the pit from which we Starks were digged
This is the pit from which we Starks were digged	You must be learned Thats what you see in it?
You must be learned Thats what you see in it?	And what do you see?
And what do you see?	Yes what do I see?
Yes what do I see?	First let me look I see raspberry vines- - 
First let me look I see raspberry vines- - 	Oh if youre going to use your eyes just hear
Oh if youre going to use your eyes just hear	What I see Its a little little boy
What I see Its a little little boy	As pale and dim as a match flame in the sun
As pale and dim as a match flame in the sun	Hes groping in the cellar after jam
Hes groping in the cellar after jam	He thinks its dark and its flooded with daylight
He thinks its dark and its flooded with daylight	Hes nothing Listen When I lean like this
Hes nothing Listen When I lean like this	I can make out old Grandsir Stark distinctly-
I can make out old Grandsir Stark distinctly-	With his pipe in his mouth and his brown jug-
With his pipe in his mouth and his brown jug-	Bless you it isnt Grandsir Stark its Granny
Bless you it isnt Grandsir Stark its Granny	But the pipes there and smoking and the jug
But the pipes there and smoking and the jug	Shes after cider the old girl shes thirsty
Shes after cider the old girl shes thirsty	Heres hoping she gets her drink and gets out safely
Heres hoping she gets her drink and gets out safely	Tell me about her Does she look like me?
Tell me about her Does she look like me?	She should shouldnt she youre so many times
She should shouldnt she youre so many times	Over descended from her I believe
Over descended from her I believe	She does look like you Stay the way you are
She does look like you Stay the way you are	The nose is just the same and sos the chin-
The nose is just the same and sos the chin-	Making allowance making due allowance
Making allowance making due allowance	You poor dear great great great great Granny
You poor dear great great great great Granny	See that you get her greatness right Dont stint her
See that you get her greatness right Dont stint her	Yes its important though you think it isnt
Yes its important though you think it isnt	I wont be teased But see how wet I am
I wont be teased But see how wet I am	Yes you must go we cant stay here for ever
Yes you must go we cant stay here for ever	But wait until I give you a hand up
But wait until I give you a hand up	A bead of silver water more or less
A bead of silver water more or less	Strung on your hair wont hurt your summer looks
Strung on your hair wont hurt your summer looks	I wanted to try something with the noise
I wanted to try something with the noise	That the brook raises in the empty valley
That the brook raises in the empty valley	We have seen visions- now consult the voices
We have seen visions- now consult the voices	Something I must have learned riding in trains
Something I must have learned riding in trains	When I was young I used the roar
When I was young I used the roar	To set the voices speaking out of it
To set the voices speaking out of it	Speaking or singing and the band-music playing
Speaking or singing and the band-music playing	Perhaps you have the art of what I mean
Perhaps you have the art of what I mean	Ive never listened in among the sounds
Ive never listened in among the sounds	That a brook makes in such a wild descent
That a brook makes in such a wild descent	It ought to give a purer oracle
It ought to give a purer oracle	Its as you throw a picture on a screen:
Its as you throw a picture on a screen:	The meaning of it all is out of you
The meaning of it all is out of you	The voices give you what you wish to hear
The voices give you what you wish to hear	Strangely its anything they wish to give
Strangely its anything they wish to give	Then I dont know It must be strange enough
Then I dont know It must be strange enough	I wonder if its not your make-believe
I wonder if its not your make-believe	What do you think youre like to hear to-day?
What do you think youre like to hear to-day?	From the sense of our having been together-
From the sense of our having been together-	But why take time for what Im like to hear?
But why take time for what Im like to hear?	Ill tell you what the voices really say
Ill tell you what the voices really say	You will do very well right where you are
You will do very well right where you are	A little longer I mustnt feel too hurried
A little longer I mustnt feel too hurried	Or I cant give myself to hear the voices
Or I cant give myself to hear the voices	Is this some trance you are withdrawing into?
Is this some trance you are withdrawing into?	You must be very still you mustnt talk
You must be very still you mustnt talk	Ill hardly breathe
Ill hardly breathe	The voices seem to say- - 
The voices seem to say- - 	Im waiting
Im waiting	Dont The voices seem to say:
Dont The voices seem to say:	Call her Nausicaa the unafraid
Call her Nausicaa the unafraid	Of an acquaintance made adventurously
Of an acquaintance made adventurously	I let you say that- on consideration
I let you say that- on consideration	I dont see very well how you can help it
I dont see very well how you can help it	You want the truth I speak but by the voices
You want the truth I speak but by the voices	You see they know I havent had your name
You see they know I havent had your name	Though what a name should matter between us- - 
Though what a name should matter between us- - 	I shall suspect- - 
I shall suspect- - 	Be good The voices say:
Be good The voices say:	Call her Nausicaa and take a timber
Call her Nausicaa and take a timber	That you shall find lies in the cellar charred
That you shall find lies in the cellar charred	Among the raspberries and hew and shape it
Among the raspberries and hew and shape it	For a door-sill or other corner piece
For a door-sill or other corner piece	In a new cottage on the ancient spot
In a new cottage on the ancient spot	The life is not yet all gone out of it
The life is not yet all gone out of it	And come and make your summer dwelling here
And come and make your summer dwelling here	And perhaps she will come still unafraid
And perhaps she will come still unafraid	And sit before you in the open door
And sit before you in the open door	With flowers in her lap until they fade
With flowers in her lap until they fade	But not come in across the sacred sill- - 
But not come in across the sacred sill- - 	I wonder where your oracle is tending
I wonder where your oracle is tending	You can see that theres something wrong with it
You can see that theres something wrong with it	Or it would speak in dialect Whose voice
Or it would speak in dialect Whose voice	Does it purport to speak in? Not old Grandsirs
Does it purport to speak in? Not old Grandsirs	Nor Grannys surely Call up one of them
Nor Grannys surely Call up one of them	They have best right to be heard in this place
They have best right to be heard in this place	You seem so partial to our great-grandmother
You seem so partial to our great-grandmother	(Nine times removed Correct me if I err)
(Nine times removed Correct me if I err)	You will be likely to regard as sacred
You will be likely to regard as sacred	Anything she may say But let me warn you
Anything she may say But let me warn you	Folks in her day were given to plain speaking
Folks in her day were given to plain speaking	You think youd best tempt her at such a time?
You think youd best tempt her at such a time?	It rests with us always to cut her off
It rests with us always to cut her off	Well then its Granny speaking: I dunnow
Well then its Granny speaking: I dunnow	Mebbe Im wrong to take it as I do
Mebbe Im wrong to take it as I do	There aint no names quite like the old ones though
There aint no names quite like the old ones though	Nor never will be to my way of thinking
Nor never will be to my way of thinking	One mustnt bear too hard on the new comers
One mustnt bear too hard on the new comers	But theres a dite too many of them for comfort
But theres a dite too many of them for comfort	I should feel easier if I could see
I should feel easier if I could see	More of the salt wherewith theyre to be salted
More of the salt wherewith theyre to be salted	Son you do as youre told You take the timber-
Son you do as youre told You take the timber-	Its as sound as the day when it was cut-
Its as sound as the day when it was cut-	And begin over- -  There shed better stop
And begin over- -  There shed better stop	You can see what is troubling Granny though
You can see what is troubling Granny though	But dont you think we sometimes make too much
But dont you think we sometimes make too much	Of the old stock? What counts is the ideals
Of the old stock? What counts is the ideals	And those will bear some keeping still about
And those will bear some keeping still about	I can see we are going to be good friends
I can see we are going to be good friends	I like your going to be You said just now
I like your going to be You said just now	Its going to rain
Its going to rain	I know and it was raining
I know and it was raining	I let you say all that But I must go now
I let you say all that But I must go now	You let me say it? on consideration?
You let me say it? on consideration?	How shall we say good-bye in such a case?
How shall we say good-bye in such a case?	How shall we?
How shall we?	Will you leave the way to me?
Will you leave the way to me?	No I dont trust your eyes Youve said enough
No I dont trust your eyes Youve said enough	Now give me your hand up- Pick me that flower
Now give me your hand up- Pick me that flower	Where shall we meet again?
Where shall we meet again?	Nowhere but here
Nowhere but here	Once more before we meet elsewhere
Once more before we meet elsewhere	In rain?
In rain?	It ought to be in rain Sometime in rain
It ought to be in rain Sometime in rain	In rain to-morrow shall we if it rains?
In rain to-morrow shall we if it rains?	But if we must in sunshine So she went
Builder in building the little house	In every way you may please yourself
In every way you may please yourself	But please please me in the kitchen chimney:
But please please me in the kitchen chimney:	Dont build me a chimney upon a shelf
However far you must go for bricks	Whatever they cost a-piece or a pound
Whatever they cost a-piece or a pound	But me enough for a full-length chimney
But me enough for a full-length chimney	And build the chimney clear from the ground
Its not that Im greatly afraid of fire	But I never heard of a house that throve
But I never heard of a house that throve	(And I know of one that didnt thrive)
(And I know of one that didnt thrive)	Where the chimney started above the stove
And I dread the ominous stain of tar	That there always is on the papered walls
That there always is on the papered walls	And the smell of fire drowned in rain
And the smell of fire drowned in rain	That there always is when the chimneys false
A shelfs for a clock or vase or picture	But I dont see why it should have to bear
But I dont see why it should have to bear	A chimney that only would serve to remind me
A chimney that only would serve to remind me	Of castles I used to build in air
I had for my winter evening walk-	No one at all with whom to talk
No one at all with whom to talk	But I had the cottages in a row
But I had the cottages in a row	Up to their shining eyes in snow
And I thought I had the folk within:	I had the sound of a violin
I had the sound of a violin	I had a glimpse through curtain laces
I had a glimpse through curtain laces	Of youthful forms and youthful faces
I had such company outward bound	I went till there were no cottages found
I went till there were no cottages found	I turned and repented but coming back
I turned and repented but coming back	I saw no window but that was black
Over the snow my creaking feet	Disturbed the slumbering village street
Disturbed the slumbering village street	Like profanation by your leave
Like profanation by your leave	At ten oclock of a winter eve
Winds blow the open grassy places bleak	But where this old wall burns a sunny cheek
But where this old wall burns a sunny cheek	They eddy over it too toppling weak
They eddy over it too toppling weak	To blow the earth or anything self-clear
To blow the earth or anything self-clear	Moisture and color and odor thicken here
Moisture and color and odor thicken here	The hours of daylight gather atmosphere
To Ridgely Torrence	On Last Looking into His Hesperides
I often see flowers from a passing car	That are gone before I can tell what they are
I want to get out of the train and go back	To see what they were beside the track
I name all the flowers I am sure they werent	Not fireweed loving where woods have burnt-
Not bluebells gracing a tunnel mouth-	Not lupine living on sand and drouth
Was something brushed across my mind	That no one on earth will ever find?
Heaven gives it glimpses only to those	Not in position to look too close
Back out of all this now too much for us	Back in a time made simple by the loss
Back in a time made simple by the loss	Of detail burned dissolved and broken off
Of detail burned dissolved and broken off	Like graveyard marble sculpture in the weather
Like graveyard marble sculpture in the weather	There is a house that is no more a house
There is a house that is no more a house	Upon a farm that is no more a farm
Upon a farm that is no more a farm	And in a town that is no more a town
And in a town that is no more a town	The road there if youll let a guide direct you
The road there if youll let a guide direct you	Who only has at heart your getting lost
Who only has at heart your getting lost	May seem as if it should have been a quarry -
May seem as if it should have been a quarry -	Great monolithic knees the former town
Great monolithic knees the former town	Long since gave up pretense of keeping covered
Long since gave up pretense of keeping covered	And theres a story in a book about it:
And theres a story in a book about it:	Besides the wear of iron wagon wheels
Besides the wear of iron wagon wheels	The ledges show lines ruled southeast-northwest
The ledges show lines ruled southeast-northwest	The chisel work of an enormous Glacier
The chisel work of an enormous Glacier	That braced his feet against the Arctic Pole
That braced his feet against the Arctic Pole	You must not mind a certain coolness from him
You must not mind a certain coolness from him	Still said to haunt this side of Panther Mountain
Still said to haunt this side of Panther Mountain	Nor need you mind the serial ordeal
Nor need you mind the serial ordeal	Of being watched from forty cellar holes
Of being watched from forty cellar holes	As if by eye pairs out of forty firkins
As if by eye pairs out of forty firkins	As for the woods excitement over you
As for the woods excitement over you	That sends light rustle rushes to their leaves
That sends light rustle rushes to their leaves	Charge that to upstart inexperience
Charge that to upstart inexperience	Where were they all not twenty years ago?
Where were they all not twenty years ago?	They think too much of having shaded out
They think too much of having shaded out	A few old pecker-fretted apple trees
A few old pecker-fretted apple trees	Make yourself up a cheering song of how
Make yourself up a cheering song of how	Someones road home from work this once was
Someones road home from work this once was	Who may be just ahead of you on foot
Who may be just ahead of you on foot	Or creaking with a buggy load of grain
Or creaking with a buggy load of grain	The height of the adventure is the height
The height of the adventure is the height	Of country where two village cultures faded
Of country where two village cultures faded	Into each other Both of them are lost
Into each other Both of them are lost	And if youre lost enough to find yourself
And if youre lost enough to find yourself	By now pull in your ladder road behind you
By now pull in your ladder road behind you	And put a sign up CLOSED to all but me
And put a sign up CLOSED to all but me	Then make yourself at home The only field
Then make yourself at home The only field	Now lefts no bigger than a harness gall
Now lefts no bigger than a harness gall	First theres the childrens house of make-believe
First theres the childrens house of make-believe	Some shattered dishes underneath a pine
Some shattered dishes underneath a pine	The playthings in the playhouse of the children
The playthings in the playhouse of the children	Weep for what little things could make them glad
Weep for what little things could make them glad	Then for the house that is no more a house
Then for the house that is no more a house	But only a belilaced cellar hole
But only a belilaced cellar hole	Now slowly closing like a dent in dough
Now slowly closing like a dent in dough	This was no playhouse but a house in earnest
This was no playhouse but a house in earnest	Your destination and your destinys
Your destination and your destinys	A brook that was the water of the house
A brook that was the water of the house	Cold as a spring as yet so near its source
Cold as a spring as yet so near its source	Too lofty and original to rage
Too lofty and original to rage	(We know the valley streams that when aroused
(We know the valley streams that when aroused	Will leave their tatters hung on barb and thorn)
Will leave their tatters hung on barb and thorn)	I have kept hidden in the instep arch
I have kept hidden in the instep arch	Of an old cedar at the waterside
Of an old cedar at the waterside	A broken drinking goblet like the Grail
A broken drinking goblet like the Grail	Under a spell so the wrong ones cant find it
Under a spell so the wrong ones cant find it	So cant get saved as Saint Mark says they mustnt
So cant get saved as Saint Mark says they mustnt	(I stole the goblet from the childrens playhouse)
(I stole the goblet from the childrens playhouse)	Here are your waters and your watering place
Here are your waters and your watering place	Drink and be whole again beyond confusion
I WALKED down alone Sunday after church	To the place where John has been cutting trees
To the place where John has been cutting trees	To see for myself about the birch
To see for myself about the birch	He said I could have to bush my peas
The sun in the new-cut narrow gap	Was hot enough for the first of May
Was hot enough for the first of May	And stifling hot with the odor of sap
And stifling hot with the odor of sap	From stumps still bleeding their life away
The frogs that were peeping a thousand shrill	Wherever the ground was low and wet
Wherever the ground was low and wet	The minute they heard my step went still
The minute they heard my step went still	To watch me and see what I came to get
Birch boughs enough piled everywhere—	All fresh and sound from the recent axe
All fresh and sound from the recent axe	Time someone came with cart and pair
Time someone came with cart and pair	And got them off the wild flowers backs
They might be good for garden things	To curl a little finger round
To curl a little finger round	The same as you seize cats-cradle strings
The same as you seize cats-cradle strings	And lift themselves up off the ground
Small good to anything growing wild	They were crooking many a trillium
They were crooking many a trillium	That had budded before the boughs were piled
That had budded before the boughs were piled	And since it was coming up had to come
Over back where they speak of life as staying	(You couldnt call it living for it aint)
(You couldnt call it living for it aint)	There was an old old house renewed with paint
There was an old old house renewed with paint	And in it a piano loudly playing
Out in the plowed ground in the cold a digger	Among unearthed potatoes standing still
Among unearthed potatoes standing still	Was counting winter dinners one a hill
Was counting winter dinners one a hill	With half an ear to the pianos vigor
All that piano and new paint back there	Was it some money suddenly come into?
Was it some money suddenly come into?	Or some extravagance young love had been to?
Or some extravagance young love had been to?	Or old love on an impulse not to care-
Not to sink under being man and wife	But get some color and music out of life?
It was long I lay	Awake that night
Awake that night	Wishing that night
Wishing that night	Would name the hour
Would name the hour	And tell me whether
And tell me whether	To call it day
To call it day	(Though not yet light)
(Though not yet light)	And give up sleep
And give up sleep	The snow fell deep
The snow fell deep	With the hiss of spray
With the hiss of spray	Two winds would meet
Two winds would meet	One down one street
One down one street	One down another
One down another	And fight in a smother
And fight in a smother	Of dust and feather
Of dust and feather	I could not say
I could not say	But feared the cold
But feared the cold	Had checked the pace
Had checked the pace	Of the tower clock
Of the tower clock	By tying together
By tying together	Its hands of gold
Its hands of gold	Before its face
Then cane one knock	A note unruffled
A note unruffled	Of earthly weather
Of earthly weather	Though strange and muffled
Though strange and muffled	The tower said One
The tower said One	And then a steeple
And then a steeple	They spoke to themselves
They spoke to themselves	And such few people
And such few people	As winds might rouse
As winds might rouse	From sleeping warm
From sleeping warm	(But not unhouse)
(But not unhouse)	They left the storm
They left the storm	That struck en masse
That struck en masse	My window glass
My window glass	Like a beaded fur
Like a beaded fur	In that grave One
In that grave One	They spoke of the sun
They spoke of the sun	And moon and stars
And moon and stars	Saturn and Mars
Saturn and Mars	And Jupiter
And Jupiter	Still more unfettered
Still more unfettered	They left the named
They left the named	And spoke of the lettered
And spoke of the lettered	The sigmas and taus
The sigmas and taus	Of constellations
Of constellations	They filled their throats
They filled their throats	With the furthest bodies
With the furthest bodies	To which man sends his
To which man sends his	Speculation
Speculation	Beyond which God is
Beyond which God is	The cosmic motes
The cosmic motes	Of yawning lenses
Of yawning lenses	Their solemn peals
Their solemn peals	Were not their own:
Were not their own:	They spoke for the clock
They spoke for the clock	With whose vast wheels
With whose vast wheels	Theirs interlock
Theirs interlock	In that grave word
In that grave word	Uttered alone
Uttered alone	The utmost star
The utmost star	Trembled and stirred
Trembled and stirred	Though set so far
Though set so far	Its whirling frenzies
Its whirling frenzies	Appear like standing
Appear like standing	in one self station
in one self station	It has not ranged
It has not ranged	And save for the wonder
And save for the wonder	Of once expanding
Of once expanding	To be a nova
To be a nova	It has not changed
It has not changed	To the eye of man
To the eye of man	On planets over
On planets over	Around and under
Around and under	It in creation
It in creation	Since man began
Since man began	To drag down man
To drag down man	And nation nation
The surest thing there is is we are riders	And though none too successful at it guiders
And though none too successful at it guiders	Through everything presented land and tide
Through everything presented land and tide	And now the very air of what we ride
What is this talked-of mystery of birth	But being mounted bareback on the earth?
But being mounted bareback on the earth?	We can just see the infant up astride
We can just see the infant up astride	His small fist buried in the bushy hide
There is our wildest mount- a headless horse	But though it runs unbridled off its course
But though it runs unbridled off its course	And all our blandishments would seem defied
And all our blandishments would seem defied	We have ideas yet that we havent tried
I let myself in at the kitchen door	Its you she said I cant get up Forgive me
Its you she said I cant get up Forgive me	Not answering your knock I can no more
Not answering your knock I can no more	Let people in than I can keep them out
Let people in than I can keep them out	Im getting too old for my size I tell them
Im getting too old for my size I tell them	My fingers are about all Ive the use of
My fingers are about all Ive the use of	Sos to take any comfort I can sew:
Sos to take any comfort I can sew:	I help out with this beadwork what I can
I help out with this beadwork what I can	Thats a smart pair of pumps youre beading there
Thats a smart pair of pumps youre beading there	Who are they for?
Who are they for?	You mean?- oh for some miss
You mean?- oh for some miss	I cant keep track of other peoples daughters
I cant keep track of other peoples daughters	Lord if I were to dream of everyone
Lord if I were to dream of everyone	Whose shoes I primped to dance in
Whose shoes I primped to dance in	And wheres John?
And wheres John?	Havent you seen him? Strange what set you off
Havent you seen him? Strange what set you off	To come to his house when hes gone to yours
To come to his house when hes gone to yours	You cant have passed each other I know what:
You cant have passed each other I know what:	He must have changed his mind and gone to Garlands
He must have changed his mind and gone to Garlands	He wont be long in that case You can wait
He wont be long in that case You can wait	Though what good you can be or anyone-
Though what good you can be or anyone-	Its gone so far Youve heard? Estelles run off
Its gone so far Youve heard? Estelles run off	Yes whats it all about? When did she go?
Yes whats it all about? When did she go?	Two weeks since
Two weeks since	Shes in earnest it appears
Shes in earnest it appears	Im sure she wont come back Shes hiding somewhere
Im sure she wont come back Shes hiding somewhere	I dont know where myself John thinks I do
I dont know where myself John thinks I do	He thinks I only have to say the word
He thinks I only have to say the word	And shell come back But bless you Im her mother-
And shell come back But bless you Im her mother-	I cant talk to her and Lord if I could
I cant talk to her and Lord if I could	It will go hard with John What will he do?
It will go hard with John What will he do?	He cant find anyone to take her place
He cant find anyone to take her place	Oh if you ask me that what will he do?
Oh if you ask me that what will he do?	He gets some sort of bakeshop meals together
He gets some sort of bakeshop meals together	With me to sit and tell him everything
With me to sit and tell him everything	Whats wanted and how much and where it is
Whats wanted and how much and where it is	But when Im gone- of course I cant stay here:
But when Im gone- of course I cant stay here:	Estelles to take me when shes settled down
Estelles to take me when shes settled down	He and I only hinder one another
He and I only hinder one another	I tell them they cant get me through the door though:
I tell them they cant get me through the door though:	Ive been built in here like a big church organ
Ive been built in here like a big church organ	Weve been here fifteen years
Weve been here fifteen years	Thats a long time
Thats a long time	To live together and then pull apart
To live together and then pull apart	How do you see him living when youre gone?
How do you see him living when youre gone?	Two of you out will leave an empty house
Two of you out will leave an empty house	I dont just see him living many years
I dont just see him living many years	Left here with nothing but the furniture
Left here with nothing but the furniture	I hate to think of the old place when were gone
I hate to think of the old place when were gone	With the brook going by below the yard
With the brook going by below the yard	And no one here but hens blowing about
And no one here but hens blowing about	If he could sell the place but then he cant:
If he could sell the place but then he cant:	No one will ever live on it again
No one will ever live on it again	Its too run down This is the last of it
Its too run down This is the last of it	What I think he will do is let things smash
What I think he will do is let things smash	Hell sort of swear the time away Hes awful
Hell sort of swear the time away Hes awful	I never saw a man let family troubles
